month,total_orders,monthly_revenue
2023-01,47,56685.749999999985
2023-02,37,40117.659999999996
2023-03,43,48609.37000000001
2023-04,31,27751.710000000006
2023-05,49,63836.840000000026
2023-06,45,49500.19
2023-07,44,42820.66
2023-08,51,54352.14
2023-09,29,29526.67
2023-10,47,52607.85
2023-11,41,43079.67
2023-12,46,43754.72999999998
2024-01,32,38528.079999999994
2024-02,32,36909.570000000014
2024-03,36,36030.899999999994
2024-04,50,49613.13999999999
2024-05,34,27909.110000000004
2024-06,53,68068.53999999998
2024-07,43,42963.98
2024-08,28,31991.07
2024-09,44,39794.979999999996
2024-10,31,37226.969999999994
2024-11,35,32413.760000000006
2024-12,41,38785.77
2025-01,27,29099.399999999998
2025-02,37,35317.549999999996
2025-03,49,39200.66000000001
2025-04,32,31821.2
2025-05,37,43396.63999999999
2025-06,49,53047.399999999994
